Model,Nmem,ftypep,specialorder,ptype
ACCESS-CM2,4,1,,1
ACCESS-ESM1-5,10,1,,1
CanESM5,2,1,,1
CAS-ESM2-0,4,1,,1
CESM2-WACCM,3,1,,1
CMCC-CM2-SR5,1,1,,1
CMCC-CM2-HR4,1,1,,1
CNRM-CM6-1,1,2,,1
CNRM-CM6-1-HR,1,2,,1
CNRM-ESM2-1,1,2,,1
E3SM-1-0,3,1,,1
E3SM-2-0,3,1,,1
EC-Earth3,6,1,"1,3,4,7,9,10",1
EC-Earth3-Veg,3,1,"1,3,4",1
EC-Earth3-Veg-LR,1,1,,1
FGOALS-f3-L,3,1,,1
FGOALS-g3,3,1,,1
GFDL-ESM4,1,1,,1
GISS-E2-1-G,5,1,,1
HadGEM3-GC31-LL,5,3,,1
HadGEM3-GC31-MM,4,3,,1
IITM-ESM,1,1,,1
INM-CM4-8,1,1,,1
INM-CM5-0,1,1,,1
IPSL-CM6A-LR,22,1,,1
KACE-1-0-G,1,1,,1
KIOST-ESM,1,1,,1
MIROC6,10,1,,1
MIROC-ES2L,3,2,,1
MPI-ESM1-2-HR,3,1,,1
MPI-ESM1-2-LR,3,1,,1
MRI-ESM2-0,3,1,,1
NorESM2-LM,1,1,,1
TaiESM1,1,1,,1
UKESM1-0-LL,1,4,,1
